Department,Comments,,,,,,,,,,,,,,,,
1,Issues day in day out. It saddens me to see students queue daily with their exams in the name of      missing marks. Where are the marks missing? Who is to take the blame in this issue which to me is becoming a pandemic.,,,,,,,,,,,,,,,,
1,"Now that face to face learning has commenced, can somebody explain to me why exactly we are being taught online.",,,,,,,,,,,,,,,,
1,"So guys I’ll explain to you my stay in school. Attending lectures hasn’t been the main priority as it should be. Well provided I sit for the exams, what's the worry? Studies are for the chosen few.",,,,,,,,,,,,,,,,
1,Some lecturers should be serious and stop setting hard exams. Someone would think they never have had kids or they have never been students too. Well for this exams have seen dust,,,,,,,,,,,,,,,,
1,Notes so many you would think we are still back in high school. Are they even necessary? Why can’t someone invent a way of learning without using notes,,,,,,,,,,,,,,,,
1,17. Some lecturers in this place never take their job seriously. Why would they just ignore students for just asking just simple questions and just asking for a mere service which is their right as far as I’m concerned. ,,,,,,,,,,,,,,,,
1,"The reward system of this school is insane. As a way of promoting studies, I’m for the idea that students should be awarded in some way.",,,,,,,,,,,,,,,,
1,After school certifications: are those completion certificates really appealing to whoever designed them. That is a task even students could have designed comfortably in their free time or as a part of learning.,,,,,,,,,,,,,,,,
1,Hello great people. Can anyone hook me up with a good institution to learn my cpa. I would appreciate some recommendations. ,,,,,,,,,,,,,,,,
6,The university 6 department has bought the football team new training and playing kits ahead of the KUSA games in December.,,,,,,,,,,,,,,,,
6, All games captains will have a meeting at the dean's office to discuss the new 6 calendar for the year.,,,,,,,,,,,,,,,,
6,Team captains are required to keep records of all the team members that turn up for training.,,,,,,,,,,,,,,,,
6,The university has resolved to purchase and equip every team with new balls and training equipment.,,,,,,,,,,,,,,,,
6,Congratulations to the hockey and rugby teams for their impressive win in Mombasa during the annual KUSA games.,,,,,,,,,,,,,,,,
3,We should approach the dean of students based on the matter availability of medicine at the school hospital because the issue affects us directly as comrades of this university.,,,,,,,,,,,,,,,,
3,I once visited the school hospital amd and i was given painkiller while i was suffering from malaria guys these issue should be taken seriously.,,,,,,,,,,,,,,,,
3,We are supposed to make provision of medicine and first aid equipment a priority in our school hospital so that we get a better service.,,,,,,,,,,,,,,,,
1,"After the December holiday, when should learning resume? Will they follow the time schedule as they have indicated or I'll just get back to just getting sunburns and wasting money. ",,,,,,,,,,,,,,,,
1,My concern is on the studies referencing materials. How well equipped is our library because I barely use the facility. I thought I should be able to get any study material that I would want because that is what libraries are for,,,,,,,,,,,,,,,,
1,Education faculty was introduced in TTU last year and I can notice a positive impact on the population of the university. I can say that is more of what the institution needed if not was lacking. ,,,,,,,,,,,,,,,,
1,How would you rate the payments of teachers in the country? Well I mean they sacrifice quite a lot because they teach every department in the nation.,,,,,,,,,,,,,,,,
1,What if learning medicine was to be introduced in this home of ideas. Just an idea though.,,,,,,,,,,,,,,,,
1,Mathematics was all fun until they introduced algebra. Earlier on it was all numbers but see what they did to it. A full mathematics equation lacking a single digit. ,,,,,,,,,,,,,,,,
1,"I’m not much of a learner or my love for learning wouldn’t be tangible but well, study halls need the lights fixed.  I mean there are them with learning talents and I pity them that they can't study at night due to lack of electricity.",,,,,,,,,,,,,,,,
1,Is it just me or we all don’t like the state of our library? What would happen if they worked on the state of that study facility? It really pissed me off that I couldn't use my desktop laptop to even get the notes from my machine with so much zeal of studying in the library. ,,,,,,,,,,,,,,,,
1,The institution should work on our results. It's been several years now and I have not seen my third year results leave alone my second year transcripts. What institution does such injustice? ,,,,,,,,,,,,,,,,
3,It's true I was even given better medicine that helped me alot. thank you alot the hospital doctors you have improved a lot.,,,,,,,,,,,,,,,,
1, What could be the aggregate of getting a first class in this institution? I want that first title so bad.,,,,,,,,,,,,,,,,
1,"I never knew that assignments had so much impact on the final results. Guys, be working on your assignments seriously. Not forgetting to put as much seriousness on your continuous assessment tests as you do to your main exams.",,,,,,,,,,,,,,,,
1, Why are students being expelled from class due to missing marks as if it's their fault the lecturer misplaced their results.,,,,,,,,,,,,,,,,
1,"So how many academic projects should one handle before graduating from this TTU. Third year students working on the same as the fourth year students. Projects, proposals and so on. That is a little too much don’t they think.",,,,,,,,,,,,,,,,
1, I like how vigilant lecturers get in those exam halls. You would even think they followed the wrong career path. Some should have been DCIs or some spy or whatever it is that deals with spying and not minding your own business.,,,,,,,,,,,,,,,,
1, I wish there was a way people could do tri semesters coz this place has really wasted so much of my time. Something meant to be learnt in 4 years is taking me 6 to get done with? The audacity? ,,,,,,,,,,,,,,,,
1,Good morning. This is to pass the information that the teaching timetable 2019/2020 is out. Check with your respective class representatives for your various classes. Classes will resume on Monday 10th sept 2019. ,,,,,,,,,,,,,,,,
6,The 6 director has urged more girls to turn up and join 6 teams.,,,,,,,,,,,,,,,,
6,The university has agreed to increase allowances for all students participating in games and representing the school in competitions.,,,,,,,,,,,,,,,,
6,After a meeting held by the 6 department all teams are expected to present a list of their team members to the department. This is inclusive of all clubs and societies.,,,,,,,,,,,,,,,,
2,KEROSI_ is the one who was given memo of Election Commission shortlisting to pin on notice Board (video evidence Available) ,,,,,,,,,,,,,,,,
1,Is it wrong to visit an academic office?,,,,,,,,,,,,,,,,
2,So you mean education 3 students were not eligible to apply for positions in the commission? Maybe the guy has a personal problem and the counselor has been tasked to help such students.,,,,,,,,,,,,,,,,
6,"he basketball team will hold an inter class competition during the weekend, all participating teams to register with the captain.",,,,,,,,,,,,,,,,
6,"The handball team will hold an inter class competition during the weekend, all participating teams to register with the captain.",,,,,,,,,,,,,,,,
3," Hello comrades, have you noticed how lately the school hospital has been able to curb that problem of lack of medical treatment?",,,,,,,,,,,,,,,,
1,MUST be a good academic role model with an average of Grade B and above in the past examination,,,,,,,,,,,,,,,,
2,MUST be in possession of a certificate of good conduct from the police or leaving certificate from previous high school.,,,,,,,,,,,,,,,,
1,"Aspirants Clearance forms MUST be cleared by the: Chair of Department, Registrar",,,,,,,,,,,,,,,,
2,"Pick Aspirants Clearance forms from the D.O.S's Office starting Monday 17 January, 2022 and submit your application to the office of the D.O.S/Chief Returning Officer by Thursday 20 January, 2022 by 1:00pm",,,,,,,,,,,,,,,,
0," Why can't the university confirm Mr Peter Misango as the Dean of student, he has been acting since 2016. Peace of mind prevails in this learning era. ",,,,,,,,,,,,,,,,
2,We need Mwalimu Esther Mwanyumba as yesterday. Esther is equal to the task for better service delivery to the common Mwananchi to this great country of TAITA TAVETA.,,,,,,,,,,,,,,,,
0,"TTU Comrades Required to Clear all Fee Arrears Before this coming Friday, 14th Jan 2022. Failure to Be deregistered.",,,,,,,,,,,,,,,,
2,"you know nothing about ttu politics,you better come for some tutorials,,i think you need some mental treatment",,,,,,,,,,,,,,,,
6,"The hockey team will hold an inter class competition during the weekend, all participating teams to register with the captain.",,,,,,,,,,,,,,,,
1,"Kindly treat this exercise as crucial. We use this to improve the quality of teaching. You will find that the tool will open for you slots to evaluate all the lecturers who are teaching you in the current semester. If you are doing 5 units, it will open for you the 5 slots. It is your right to get quality education and this is one of the ways for you to evaluate the lecturers.Each student fills his/her own. ",,,,,,,,,,,,,,,,
1,ATTACHMENT OPPORTUNITIES IN KENYA We have attachment opportunities in the following fields. Kindly reach us via email attachment@attechom.co.ke or WhatsApp us on 0796539265 with your attachment letter from the school to apply.,,,,,,,,,,,,,,,,
6,"The football team will hold an inter class competition during the weekend, all participating teams to register with the captain. ",,,,,,,,,,,,,,,,
6,"The athletics team will hold an inter class competition during the weekend, all participating teams to register with the captain.",,,,,,,,,,,,,,,,
6,"The inter-class competition will begin next semester, all teams prepare themselves thoroughly, and big prizes to be won.",,,,,,,,,,,,,,,,
6,all 6 complaints can be handled informally between the patron and the team captain.,,,,,,,,,,,,,,,,
3,Fellow students the school hospital is open 24 hours a day so don't worry about anything when seeking medical treatment from the school. ,,,,,,,,,,,,,,,,
5,Is your CV tailored to your specific role? Do you want to change your career? Do you want recruiters to view you as a serious candidate for a job role? How do you become a problem solving candidate?,,,,,,,,,,,,,,,,
5,Career Path Strategy Kenya is a professional CV writing services provider. We ensure the following,,,,,,,,,,,,,,,,
5,We will help you explain the short roles on your CV by demonstrating how you added value and fulfilled an important purpose for the organization. ,,,,,,,,,,,,,,,,
5,We will help you explain the short roles on your CV by demonstrating how you added value and fulfilled an important purpose for the organization. ,,,,,,,,,,,,,,,,
1,To the math and computer science courses. Some of the units will be dealt away with to pave way for a new curriculum.,,,,,,,,,,,,,,,,
3,Remember to always carry your school ID with you while making a visit to the school dispensary so that you will be able to access the service offered.,,,,,,,,,,,,,,,,
1,To sum it all the advice remained that students should avoid misconduct in the exams. It would be too sad for me to sign a 2-year academic leave for any after spending so much time before completing.,,,,,,,,,,,,,,,,
1,Exams irregularities is one the pandemic that we should all seek to fight. You had adequate time to learn and prepare for your papers during classes and revisions. ,,,,,,,,,,,,,,,,
5,Green Kids Awards Nominations Open.  An award for children & Teens below age of 18yrs involved in #Environmental #ConservationNominate ???? https://forms.gle/iUAfVF8NmLY9fKoT8Contact: 0703735160/ greenkidsaward@Gmail.com,,,,,,,,,,,,,,,,
2,"Say no to tumultuous leaders filled with oblivious. We need a true definition of resurrection and sound minded person to lead entire fraternity of ttu; who is he if not Charles Ochieng? The innovative and creative man of all races.Vote Charles vote for accountability, transparency and trustability in all sphere. Don't vote  idealistic but vote pragmatic of comrades genuine problems.????????",,,,,,,,,,,,,,,,
5,Special offerHp Folio 9470mScreen size: 14 inchesIntel Core: i5Ram: 4gbHarddisk: 500gbKeyboard: BacklightClock Speed: 2.3ghzBattery: 4 hoursPrice: 25kNewWe buy dead laptops with everything intactWe also repair laptops and sell computer accessories at affordable prices on 0720582565Located VOI Opposite D star Hotel,,,,,,,,,,,,,,,,
5,Watching Dj bunney254 aka Omwana etoyota doing her thing is the best music experience one can ever have. Follow this page to watch her amazing videos of all time. Thank you for the unwavering support,,,,,,,,,,,,,,,,
5,"Do you love church?... this Sunday make an effort of attending a service. We welcome you all at Jubilee Christian church-voi, located at inner voi -msa road... opposite total petrol station.. near SDA church. Our service kicks off at exactly 9:00 am to 12:00 pm. Come expectant... kindly tag a friend along...??... Shalom!...",,,,,,,,,,,,,,,,
5,"Finally, #VOI to host the #Youth Talent & #Career Fair on 22nd Feb. 2020. See details in the image.",,,,,,,,,,,,,,,,
5,PHOTOS: Police in Taita Taveta led by County Commander Saidi Kiprotich march to Moi County Refferral Hospital to spend #ValentinesDay2020 with the sick.,,,,,,,,,,,,,,,,
1,"Fully sponsored , undergraduate ,post graduate 2020/2021 intake.Key requirements passport , certificate of good conduct , 100% quranteed.",,,,,,,,,,,,,,,,
0,"Unveiling Our Guest Speakers,Principal Secretary,State Department for Tourism Hon.Safina Kwekwe,CBS is our Guest Speaker for the upcoming event dubbed  KUCCPS PRE-COURSE SELECTION & CAREER SENSITISATION FORUM scheduled on Sunday,19th Jan ,2020 at Kenya Redcross, Mvindeni .",,,,,,,,,,,,,,,,
1,"Despite the fact that they ranked BAHARI Girls in Kilifi South, and gave south our best grades, kilifi North Constituency ranked the best,top, number 1 in the coast region. During our education conference in 2018 held at pwani University I promised to transform education in kilifi North not only in infrastructure but also performance to be top in the Nation. we have topped Coast  Region. Na Bado. Leadership is everything and focused leadership is the answer. #leaderwithavision",,,,,,,,,,,,,,,,
5,"Police use teargas and live bullets to disperse stranded Egerton University comrades trying to force their way into the institution without paying Ksh17,000 damages fee http://bit.ly/2L5ReyZ",,,,,,,,,,,,,,,,
5,Selling at voi town just 400...contact 0715435295,,,,,,,,,,,,,,,,
3,"Final Day: 1st Year Orientation Talk on Alcohol, Drugs and Substance Abuse by Dr. Wilson Charo - Head 3 Unit.",,,,,,,,,,,,,,,,
6,INTERCLASSES FINALS HAPPENING NOW At the University 6 Ground  Bachelor of Statistics year 4 Vs Bachelor of Education Science year 2 Final Score; Statistics 1 - Education 1 Post Penalties: Statistics  5 -  4 Education,,,,,,,,,,,,,,,,
0,Greetings from Taita Taveta University; The University Bus will be available at Voi town to feryy First year Students and Parents free of charge on Monday (20/09/2021) from 6am. For those who will be arriving with the SGR at 12noon the University Bus will be picking you up at the SGR Voi station. Welcome to Taita Taveta University; Home of Ideas,,,,,,,,,,,,,,,,
4,Great interactions@ Taita TavetaUniversity Voi . Hosted members of #SUSO who donated some dustbins. Interractions were full of fun and educating too! #naturenimuhimu  #susocapacitybuilding  #environmentalist #ubuntu Stand Up Shout Out ,,,,,,,,,,,,,,,,
3,The Ministry of 3 Officials today conducted Covid-19 sensitization and vaccination of the students with Moderna vaccine. The University aims to vaccinate all staff and students to protect everyone against COVID-19.,,,,,,,,,,,,,,,,
3,Covid-19 sensitisation and vaccination,,,,,,,,,,,,,,,,
0,TTU in conjunction with the Retirement Benefits Authority (RBA)  organized a two days staff retirement planning seminar. The workshop aims to sensitize participants to proactively and strategically plan for their retirement needs. To facilitate a smooth transition to the new phase in life.  Retirement Benefits Authority Kenya,,,,,,,,,,,,,,,,
0,"Today, we hosted Taita Taveta County Fire & Rescue Services Team from the Department of Public Works and Infrastructure for a safety inspection on the level of TTU preparedness and available water points in case of a fire disaster. Prof. Kiptanui Too - Deputy Vice Chancellor (0, Finance and Planning) congratulated the County Government for the noble idea of purchasing the state of art fire engines for the county, he encouraged the fire fighting team to fully utilised the opportunity accorded to them by dedicating there life in  rescueing, saving and protecting the property and life of the people around the county.",,,,,,,,,,,,,,,,
0,"Vice Chancellor Prof.Fred Simiyu launched two days refresher workshop on Quality Management System for the process owners at the University Auditorium. At the end of the workshop the participants would have gained knowledge on Key changes between ISO 9001 : 2008 & 9001:2015, Understand requirements of ISO 9001:2015, Be able to apply and implement ISO 9001:2015 and be aware of transition guidance for ISO 9001:2015.",,,,,,,,,,,,,,,,
1,"Held 4th Taita Taveta University Graduation on 6th May 2021 at the Amphi Theater. The Ceremony was presided over by the University Chancellor Dr. Sally Kosgei. A total 680 granduands were conferred degrees and awarded diplomas and Certificate.The Ceremony was attended by Principal Secretary State Department of Education & Research Amb. Simon Nabukwesi, Principal Secretary State Department of Crop & Agricultural Research Prof. Hamadi Iddi Boga Wundanyi Mp Hon. Danson Mwashako Mwakuwona Council Members, Senate and Staff.",,,,,,,,,,,,,,,,
0,"We have received a donation of 5 (5000ltrs) storage water tanks, 10 (100ltrs) of Litter bins with lids, wheels & foot pedal,  10 (100ltrs) Litter bins with with wheels & lid, 10 (100ltrs) Litter bins with lid only and 5 poly pots from Sustainable World Organization courtesy of Multi Agency ESSC-HORN OF AFRICA .The Vice Chancellor thanked the donors for their generosity geared towards supporting TTU to attain the SDGs by the year 2030 and in this case Goal number 6.",,,,,,,,,,,,,,,,
4,Our former student Mrs Sabina Lelemoyog from Ledero and her organization Bright Future Foundation Samburu has been noticed by Absa Bank Kenya for their exemplary job as a girls empowerment CBO in Samburu county. They have been shortlisted among many organisations in Kenya to provide Sanitary towels to the women and girls in our community. They want to have pad banks in various locations through out samburu where women and girls can easily access sanitary towels.Absa has tweeted a competition to get the best CBO for an award of Ksh 2.5m for the most retweeted one. ,,,,,,,,,,,,,,,,
4,"TTU Alumna and  Former TTU Rotaract Club President, Lydia Lukera, is set to not only serve as the Rotaract Club Kenya President 2021/22 but also as the District Rotaract Representative (DRR) of District 9212, a cluster of Rotaract Clubs in Kenya, Ethiopia, Eritrea and South Sudan.Congratulations Lydia Lukera. You Deserve it! #TTULife",,,,,,,,,,,,,,,,
3,"Today, we received a donation of 4 Patient Ward Beds, 4 Hospital Mackintosh Mattresses, 1 Patient Examination Couch and 1 Patient Emergency Stretcher from ESSC-HoA as part of Sustainable Development Goal 3 to boost our 3 Unit Facility. The University 3 Facility serves Taita Taveta University students, staff and community around. The Vice Chancellor Prof.Fred Simiyu Barasa who received the donation on behalf of TTU fraternity, thanked the donors for their immense and timely contribution that will go towards improving the quality of 3 services in the University 3 Unit to make 3 services more effective, safe and people-centred.",,,,,,,,,,,,,,,,
0,"You are invited to a Zoom webinar.When: Apr 13, 2021 10:00 AM NairobiTopic: Employee wellness: A look at lifestyle diseases (Diabetes, Hypertension) prevention during Covid-19 Please click the link below to join the webinar:https://us02web.zoom.us/j/88415123970... Webinar ID 884 1512 3970 Passcode 700700",,,,,,,,,,,,,,,,
0,"Taita Taveta University Council, in consideration of competitive recruitment process conducted by the Public Service Commission of Kenya in February 2021, and with the subsequent concurrence of the Cabinet Secretary for Ministry of Education Prof. George Magoha; has formally appointed Prof. Fred Simiyu Barasa as the substantive Vice Chancellor of Taita Taveta University for a term of five (5) years. Hongera Prof.Fred Simiyu Barasa.",,,,,,,,,,,,,,,,
0,"Vice Chancellor Prof.Fred Simiyu Barasa, PhD Condolence message to the Family and friends of Dr.Nicholas Muthama.",,,,,,,,,,,,,,,,
